Date,Close/Last,Open,High,Low
10/29/2025,26119.85,26147.72,26182.10,25907.45
10/28/2025,26012.16,25932.64,26087.48,25864.49
10/27/2025,25821.55,25701.95,25839.03,25656.38
10/24/2025,25358.16,25307.75,25418.64,25288.71
10/23/2025,25097.42,24869.60,25126.78,24856.34
10/22/2025,24879.00,25093.64,25127.06,24652.11
10/21/2025,25127.13,25139.80,25178.23,25043.06
10/20/2025,25141.02,24991.10,25183.81,24988.67
10/17/2025,24817.95,24600.55,24881.47,24511.59
10/16/2025,24657.24,24882.22,24998.30,24481.17
10/15/2025,24745.36,24807.34,24933.23,24496.07
10/14/2025,24579.32,24442.93,24766.37,24256.28
10/13/2025,24750.25,24625.74,24779.65,24540.42
10/10/2025,24221.75,25116.83,25195.28,24207.15
10/09/2025,25098.18,25124.79,25139.35,24966.81
10/08/2025,25136.62,24887.32,25142.19,24882.35
10/07/2025,24840.23,25031.78,25062.96,24783.95
10/06/2025,24978.56,24986.26,25044.26,24907.60
10/03/2025,24785.52,24931.42,24958.26,24713.58
10/02/2025,24892.76,24933.49,24944.75,24780.11
10/01/2025,24800.86,24539.25,24816.67,24517.76
09/30/2025,24679.99,24597.40,24691.23,24505.14
09/29/2025,24611.35,24629.02,24741.77,24560.22
09/26/2025,24503.85,24410.95,24510.37,24297.70
09/25/2025,24397.31,24321.73,24460.66,24186.37
09/24/2025,24503.57,24648.97,24650.42,24388.59
09/23/2025,24580.17,24752.74,24764.30,24536.50
09/22/2025,24761.07,24588.18,24781.73,24578.09
09/19/2025,24626.25,24528.44,24641.93,24469.28
09/18/2025,24454.89,24421.21,24554.52,24347.54
09/17/2025,24223.69,24286.43,24292.06,23999.75
09/16/2025,24274.25,24342.75,24343.35,24244.21
09/15/2025,24293.78,24178.60,24297.34,24173.14
09/12/2025,24092.19,24030.77,24137.06,23983.63
09/11/2025,23992.56,23956.57,24016.53,23883.01
09/10/2025,23849.27,23931.32,23958.54,23760.09
09/09/2025,23839.80,23824.33,23852.42,23698.00
09/08/2025,23762.30,23759.62,23851.81,23725.04
09/05/2025,23652.44,23841.98,23860.25,23475.33
09/04/2025,23633.01,23442.19,23639.04,23371.33
09/03/2025,23414.84,23388.28,23478.01,23279.12
09/02/2025,23231.11,23020.47,23242.28,22977.89
08/29/2025,23415.42,23607.54,23607.54,23353.96
08/28/2025,23703.45,23601.35,23741.23,23514.70
08/27/2025,23565.85,23499.67,23591.05,23434.31
08/26/2025,23525.29,23420.85,23532.51,23369.04
